City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
chokurdakh,70.63,147.92,34.95,96,38,14.94,RU,1601488077
nikolskoye,59.7,30.79,55.4,82,20,6.71,RU,1601488077
bluff,-46.6,168.33,37.99,94,61,3.0,NZ,1601488077
punta arenas,-53.15,-70.92,37.4,59,75,35.57,CL,1601487894
faya,18.39,42.45,69.8,64,14,5.82,SA,1601488078
cefalu,38.04,14.02,70.0,77,28,4.32,IT,1601488078
trelew,-43.25,-65.31,57.7,33,49,24.94,AR,1601488078
victoria,22.29,114.16,80.01,89,100,1.01,HK,1601487945
ponta do sol,32.67,-17.1,72.0,82,75,12.75,PT,1601488079
sarh,9.14,18.39,75.2,83,20,2.35,TD,1601488079
tiksi,71.69,128.87,30.81,96,100,21.23,RU,1601488080
bilma,18.69,12.92,94.19,11,44,2.24,NE,1601488080
kaitangata,-46.28,169.85,42.01,81,43,6.17,NZ,1601488081
asosa,10.07,34.53,62.89,100,100,0.54,ET,1601488081
tres passos,-27.46,-53.93,102.99,34,10,3.0,BR,1601488081
tilichiki,60.47,166.1,38.93,94,100,4.41,RU,1601488082
kruisfontein,-34.0,24.73,57.0,71,2,3.0,ZA,1601488082
muroto,33.28,134.15,71.1,72,89,4.83,JP,1601488083
iqaluit,63.75,-68.51,39.2,51,20,18.34,CA,1601488083
bubaque,11.28,-15.83,83.48,79,87,10.16,GW,1601488084
thompson,55.74,-97.86,37.4,93,90,13.87,CA,1601488084
dawson creek,55.77,-120.24,41.0,50,1,3.36,CA,1601487909
jamestown,42.1,-79.24,57.99,66,90,18.34,US,1601487991
demba,-5.51,22.27,75.78,64,76,1.83,CD,1601488085
hofn,64.25,-15.21,46.4,81,90,3.36,IS,1601488085
esperance,-33.87,121.9,55.4,82,0,11.41,AU,1601488086
along,28.17,94.77,71.26,87,4,1.9,IN,1601488086
kodiak,57.79,-152.41,51.03,88,100,29.86,US,1601488086
mahebourg,-20.41,57.7,71.6,83,75,2.24,MU,1601488087
khatanga,71.97,102.5,22.12,97,1,5.37,RU,1601488087
geraldton,-28.77,114.6,59.0,82,75,4.7,AU,1601488087
torbay,47.67,-52.73,77.0,73,75,18.34,CA,1601488088
tasiilaq,65.61,-37.64,33.8,59,5,5.82,GL,1601488088
bathsheba,13.22,-59.52,89.6,66,40,21.92,BB,1601488088
sitka,57.05,-135.33,68.0,42,90,14.99,US,1601488088
kudymkar,59.02,54.66,47.57,89,93,2.39,RU,1601488089
east london,-33.02,27.91,64.4,82,0,9.17,ZA,1601488088
west bay,19.37,-81.42,87.8,74,40,4.7,KY,1601488089
nahavand,34.19,48.38,60.28,57,57,2.73,IR,1601488089
puerto ayora,-0.74,-90.35,75.2,64,75,20.8,EC,1601488090
hami,42.8,93.45,50.47,39,0,9.4,CN,1601488090
saint-philippe,-21.36,55.77,73.4,73,40,8.14,RE,1601488091
castro,-24.79,-50.01,88.52,36,29,11.39,BR,1601488091
tuktoyaktuk,69.45,-133.04,33.8,100,90,5.82,CA,1601488091
kamenka,51.32,42.77,61.0,39,100,1.99,RU,1601488092
rikitea,-23.12,-134.97,71.35,82,76,23.38,PF,1601488092
tual,-5.67,132.75,80.67,81,95,16.58,ID,1601488092
hermanus,-34.42,19.23,54.0,80,83,4.0,ZA,1601488093
cavalcante,-13.8,-47.46,94.37,17,32,11.7,BR,1601488093
nouadhibou,20.93,-17.03,77.0,69,0,19.46,MR,1601488093
lagoa,39.05,-27.98,69.96,78,94,14.61,PT,1601488094
lavrentiya,65.58,-171.0,33.13,91,11,10.31,RU,1601488094
saint george,37.1,-113.58,79.0,14,1,0.78,US,1601488094
prince rupert,54.32,-130.32,62.6,67,1,9.17,CA,1601488094
mataura,-46.19,168.86,37.99,94,63,3.0,NZ,1601488095
san vicente de canete,-13.08,-76.38,68.47,62,14,9.1,PE,1601488095
matara,5.95,80.54,77.52,88,94,9.17,LK,1601488096
cape town,-33.93,18.42,57.0,76,75,14.99,ZA,1601487984
cabo san lucas,22.89,-109.91,89.6,62,5,7.58,MX,1601488074
pelaya,8.69,-73.66,89.46,59,76,2.08,CO,1601488096
gonbad-e qabus,37.25,55.17,62.6,39,27,4.7,IR,1601488096
pisco,-13.7,-76.22,68.0,77,10,11.41,PE,1601488097
airai,-8.93,125.41,60.64,70,71,2.68,TL,1601488097
tura,25.52,90.22,75.69,87,45,1.72,IN,1601488098
arraial do cabo,-22.97,-42.03,86.0,69,1,21.92,BR,1601488098
bonthe,7.53,-12.51,79.95,83,76,8.72,SL,1601488098
busselton,-33.65,115.33,61.0,67,94,14.0,AU,1601488099
south lake tahoe,38.93,-119.98,70.0,44,1,4.14,US,1601488099
severo-kurilsk,50.68,156.12,50.04,82,99,2.1,RU,1601488099
grindavik,63.84,-22.43,39.2,71,75,10.29,IS,1601488099
praia da vitoria,38.73,-27.07,73.4,94,75,14.65,PT,1601488100
barrow,71.29,-156.79,32.0,98,90,14.99,US,1601488100
redwater,33.36,-94.25,79.0,34,1,10.29,US,1601488101
pital,2.27,-75.8,79.27,59,79,5.88,CO,1601488101
atuona,-9.8,-139.03,78.57,75,10,20.04,PF,1601488101
esso,55.93,158.7,38.86,83,98,4.12,RU,1601488102
palmer,42.16,-72.33,66.99,63,20,16.11,US,1601487808
provideniya,64.38,-173.3,33.37,92,0,6.8,RU,1601488102
saint-vallier,46.64,4.37,60.8,67,35,1.03,FR,1601488103
flin flon,54.77,-101.86,42.8,87,90,18.34,CA,1601487909
ushuaia,-54.8,-68.3,33.8,86,90,18.34,AR,1601487911
carnarvon,-24.87,113.63,66.2,100,0,14.99,AU,1601488103
bambous virieux,-20.34,57.76,73.0,83,75,2.24,MU,1601488104
hobart,-42.88,147.33,52.0,66,75,10.29,AU,1601488104
katsuura,35.13,140.3,68.0,82,90,9.17,JP,1601488105
lompoc,34.64,-120.46,71.6,72,1,9.17,US,1601488051
cidreira,-30.18,-50.21,77.38,71,68,8.3,BR,1601488106
yenagoa,4.92,6.26,76.64,91,100,4.65,NG,1601488106
tricase,39.93,18.36,68.0,68,20,4.61,IT,1601488106
gao,16.64,1.64,100.62,13,8,4.7,ML,1601488106
westport,41.14,-73.36,69.8,46,1,16.11,US,1601488107
qaanaaq,77.48,-69.36,13.62,81,0,6.4,GL,1601488107
nhulunbuy,-12.23,136.77,71.6,88,60,9.13,AU,1601488107
cuiluan,47.72,128.65,37.87,80,0,1.59,CN,1601488108
oktyabrskiy,54.48,53.47,53.28,87,55,2.89,RU,1601488108
saskylakh,71.92,114.08,26.73,94,82,2.89,RU,1601488108
la ronge,55.1,-105.28,44.6,65,90,16.11,CA,1601488108
new norfolk,-42.78,147.06,52.0,66,99,5.01,AU,1601488109
koumac,-20.57,164.28,65.79,78,39,8.16,NC,1601488109
coolum beach,-26.53,153.1,53.01,96,3,5.37,AU,1601488109
savannah bight,16.45,-85.85,84.25,71,51,8.57,HN,1601488110
olinda,-8.01,-34.86,86.0,58,40,16.11,BR,1601488110
saint-francois,46.42,3.91,60.8,67,25,1.23,FR,1601488110
zhigansk,66.77,123.37,27.37,94,58,4.29,RU,1601488111
bedele,8.46,36.35,57.25,100,100,1.03,ET,1601488111
tanete,-3.94,119.78,75.88,87,100,6.67,ID,1601488111
hamilton,39.18,-84.53,71.01,49,1,18.34,US,1601487901
pevek,69.7,170.31,35.13,86,0,13.35,RU,1601488112
port hueneme,34.15,-119.2,93.2,69,1,6.93,US,1601487842
ostrovnoy,68.05,39.51,47.32,87,8,16.22,RU,1601488112
vaini,-21.2,-175.2,73.4,94,75,6.93,TO,1601488113
chicama,-7.84,-79.15,74.93,52,60,10.71,PE,1601488113
baijiantan,45.63,85.18,48.24,50,0,5.84,CN,1601488113
avera,33.19,-82.53,71.6,43,1,11.41,US,1601488114
mayo,38.89,-76.51,70.0,49,20,12.75,US,1601488114
sao felix do xingu,-6.64,-51.99,95.13,40,83,0.78,BR,1601488114
porbandar,21.64,69.61,81.19,75,6,10.76,IN,1601488115
bethel,41.37,-73.41,66.99,55,40,10.29,US,1601488115
kappeln,54.66,9.93,60.01,93,45,8.57,DE,1601488115
mehamn,71.04,27.85,51.8,81,75,14.99,NO,1601488115
usogorsk,63.41,48.69,49.84,88,91,5.61,RU,1601488115
smithers,54.78,-127.17,55.4,71,75,10.29,CA,1601488116
mar del plata,-38.0,-57.56,71.6,49,64,11.41,AR,1601488116
kurilsk,45.23,147.88,53.71,84,88,5.64,RU,1601488117
jacareacanga,-6.22,-57.75,99.43,30,55,1.86,BR,1601488117
sao joao da barra,-21.64,-41.05,86.0,58,2,20.8,BR,1601488117
touros,-5.2,-35.46,84.2,58,20,18.34,BR,1601487851
belmonte,-15.86,-38.88,80.6,69,40,14.99,BR,1601488060
hithadhoo,-0.6,73.08,83.91,71,100,6.29,MV,1601488118
florianopolis,-27.61,-48.5,82.4,54,20,19.46,BR,1601488116
avarua,-21.21,-159.78,77.0,88,26,20.8,CK,1601487995
jiwani,25.05,61.74,82.26,74,0,10.13,PK,1601488118
praia,14.92,-23.51,84.2,66,75,14.99,CV,1601488119
ilulissat,69.22,-51.1,28.4,46,20,8.05,GL,1601488119
portland,45.52,-122.68,72.0,63,0,1.01,US,1601487971
fairbanks,64.84,-147.72,51.8,37,20,9.17,US,1601487933
college,64.86,-147.8,51.8,37,75,11.41,US,1601488120
yaan,7.38,8.57,76.12,91,60,5.01,NG,1601488121
albany,42.6,-73.97,68.0,46,55,5.99,US,1601488103
burns lake,54.23,-125.75,52.54,79,86,3.62,CA,1601488096
haines junction,60.75,-137.51,42.71,71,23,2.66,CA,1601488122
tuatapere,-46.13,167.68,37.99,94,49,3.0,NZ,1601488122
bandiagara,14.35,-3.61,95.29,29,79,11.43,ML,1601488122
georgetown,5.41,100.34,80.6,88,20,3.36,MY,1601487910
karasburg,-28.02,18.75,55.2,56,0,21.32,NA,1601488123
hitachi,36.6,140.65,64.99,77,95,5.91,JP,1601488123
sorland,67.67,12.69,53.6,87,75,10.29,NO,1601488123
upernavik,72.79,-56.15,25.43,94,99,8.93,GL,1601488124
damara,4.96,18.7,77.0,73,40,9.17,CF,1601488124
port alfred,-33.59,26.89,61.32,84,0,4.97,ZA,1601488125
pucallpa,-8.38,-74.55,87.8,55,75,3.36,PE,1601488125
okhotsk,59.38,143.3,43.92,67,25,10.36,RU,1601488126
roma,43.21,-75.46,62.6,55,75,14.99,US,1601488126
mount isa,-20.73,139.5,78.8,24,0,14.99,AU,1601488126
okakarara,-20.58,17.43,73.94,17,0,12.59,NA,1601488127
longyearbyen,78.22,15.64,37.4,90,75,5.82,SJ,1601488127
sheregesh,52.92,87.99,31.48,98,100,3.44,RU,1601488127
dikson,73.51,80.55,35.04,97,100,18.92,RU,1601488128
sola,-13.88,167.55,78.75,84,33,23.53,VU,1601488128
saryozek,44.36,77.98,41.16,61,99,1.81,KZ,1601488129
